,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
20372,2021-07-29,388.33,401.96,378.39,396.49,388.33,401.96,378.39,396.49,46481.04033,46481.04033,daily,COMP
20373,2021-07-28,392.52,400.0,380.71,388.49,392.52,400.0,380.71,388.49,49480.94263,49480.94263,daily,COMP
20374,2021-07-27,391.83,408.2,375.7,392.64,391.83,408.2,375.7,392.64,85641.46349,85641.46349,daily,COMP
20375,2021-07-26,391.12,438.32,385.0,392.09,391.12,438.32,385.0,392.09,131489.86113,131489.86113,daily,COMP
20376,2021-07-25,409.52,412.84,370.0,391.35,409.52,412.84,370.0,391.35,79782.87504,79782.87504,daily,COMP
20377,2021-07-24,417.89,428.5,401.68,409.31,417.89,428.5,401.68,409.31,68781.17949,68781.17949,daily,COMP
20378,2021-07-23,414.05,427.0,385.78,417.56,414.05,427.0,385.78,417.56,79120.75072,79120.75072,daily,COMP
20379,2021-07-22,376.94,415.25,368.49,414.2,376.94,415.25,368.49,414.2,108526.74771,108526.74771,daily,COMP
20380,2021-07-21,349.91,399.0,338.74,376.89,349.91,399.0,338.74,376.89,99118.49419,99118.49419,daily,COMP
20381,2021-07-20,340.5,360.9,310.0,349.56,340.5,360.9,310.0,349.56,87857.92379,87857.92379,daily,COMP
20382,2021-07-19,379.41,379.93,334.6,340.04,379.41,379.93,334.6,340.04,86188.68199,86188.68199,daily,COMP
20383,2021-07-18,378.9,398.95,371.32,379.37,378.9,398.95,371.32,379.37,46954.16365,46954.16365,daily,COMP
20384,2021-07-17,368.09,388.99,365.2,379.1,368.09,388.99,365.2,379.1,44446.40647,44446.40647,daily,COMP
20385,2021-07-16,398.9,409.9,366.67,368.09,398.9,409.9,366.67,368.09,60864.32328,60864.32328,daily,COMP
20386,2021-07-15,410.11,431.52,392.65,398.79,410.11,431.52,392.65,398.79,142539.43665,142539.43665,daily,COMP
20387,2021-07-14,387.64,424.66,358.51,410.51,387.64,424.66,358.51,410.51,95737.89989,95737.89989,daily,COMP
20388,2021-07-13,412.1,418.0,381.11,387.31,412.1,418.0,381.11,387.31,55500.80762,55500.80762,daily,COMP
20389,2021-07-12,436.62,444.52,401.91,412.34,436.62,444.52,401.91,412.34,62710.33572,62710.33572,daily,COMP
20390,2021-07-11,423.1,457.82,414.29,436.65,423.1,457.82,414.29,436.65,78271.4692,78271.4692,daily,COMP
20391,2021-07-10,434.18,448.96,408.8,423.35,434.18,448.96,408.8,423.35,94436.33699,94436.33699,daily,COMP
20392,2021-07-09,414.67,441.27,386.7,434.18,414.67,441.27,386.7,434.18,120471.55939,120471.55939,daily,COMP
20393,2021-07-08,441.51,445.74,408.43,414.83,441.51,445.74,408.43,414.83,138677.91063,138677.91063,daily,COMP
20394,2021-07-07,481.23,493.0,434.41,441.47,481.23,493.0,434.41,441.47,150139.6649,150139.6649,daily,COMP
20395,2021-07-06,492.43,530.98,462.51,481.55,492.43,530.98,462.51,481.55,239428.82404,239428.82404,daily,COMP
20396,2021-07-05,443.72,520.25,412.99,492.32,443.72,520.25,412.99,492.32,320467.18234,320467.18234,daily,COMP
20397,2021-07-04,380.87,464.72,368.43,443.98,380.87,464.72,368.43,443.98,178068.46446,178068.46446,daily,COMP
20398,2021-07-03,368.17,386.91,362.41,380.61,368.17,386.91,362.41,380.61,128546.08082,128546.08082,daily,COMP
