timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-13,132371.31855000,134850.04579500,125701.99500000,133891.83586500,19155.10000000,19513.79000000,18190.00000000,19375.13000000,399756.68337000,399756.68337000
2022-10-12,131714.13000000,132946.34125500,131063.71374000,132374.29006500,19060.00000000,19238.31000000,18965.88000000,19155.53000000,213826.26731000,213826.26731000
2022-10-11,132210.78763500,133152.13594500,130332.03000000,131714.13000000,19131.87000000,19268.09000000,18860.00000000,19060.00000000,243473.84286000,243473.84286000
2022-10-10,134339.84358000,134927.51250000,131439.43762500,132210.78763500,19439.96000000,19525.00000000,19020.25000000,19131.87000000,212509.09849000,212509.09849000
2022-10-09,134177.86146000,135155.55900000,133483.49442000,134333.34771000,19416.52000000,19558.00000000,19316.04000000,19439.02000000,113900.82681000,113900.82681000
2022-10-08,134962.68694500,135635.00949000,132938.25597000,134187.81258000,19530.09000000,19627.38000000,19237.14000000,19417.96000000,102480.09842000,102480.09842000
2022-10-07,137938.21003500,138685.58061000,133510.86000000,134962.68694500,19960.67000000,20068.82000000,19320.00000000,19530.09000000,220874.83913000,220874.83913000
2022-10-06,139303.65573000,141365.33430000,137194.15650000,137938.21003500,20158.26000000,20456.60000000,19853.00000000,19960.67000000,320122.17020000,320122.17020000
2022-10-05,140544.50511000,140736.47880000,136344.16500000,139303.65573000,20337.82000000,20365.60000000,19730.00000000,20158.26000000,312239.75224000,312239.75224000
2022-10-04,135646.75734000,141492.48750000,134689.79130000,140544.50511000,19629.08000000,20475.00000000,19490.60000000,20337.82000000,327012.00127000,327012.00127000
2022-10-03,131698.51227000,136268.84055000,131020.86864000,135646.75734000,19057.74000000,19719.10000000,18959.68000000,19629.08000000,293585.75212000,293585.75212000
2022-10-02,133457.23452000,134035.43605500,130749.07867500,131692.01640000,19312.24000000,19395.91000000,18920.35000000,19056.80000000,206812.47032000,206812.47032000
2022-10-01,134219.94640500,134644.18200000,132401.17191000,133448.31997500,19422.61000000,19484.00000000,19159.42000000,19310.95000000,165625.13959000,165625.13959000
2022-09-30,135380.42667000,139488.44250000,132373.11528000,134219.94640500,19590.54000000,20185.00000000,19155.36000000,19422.61000000,444322.95340000,444322.95340000
2022-09-29,134152.29261000,135760.36596000,130214.62060500,135387.12985500,19412.82000000,19645.52000000,18843.01000000,19591.51000000,406424.93256000,406424.93256000
2022-09-28,131839.21005000,136758.79500000,127645.78044000,134152.29261000,19078.10000000,19790.00000000,18471.28000000,19412.82000000,521385.45547000,521385.45547000
2022-09-27,132865.97214000,140876.48553000,130030.17936000,131846.32786500,19226.68000000,20385.86000000,18816.32000000,19079.13000000,593260.74161000,593260.74161000
2022-09-26,129980.49286500,133503.67308000,129093.11556000,132873.85011000,18809.13000000,19318.96000000,18680.72000000,19227.82000000,439239.21943000,439239.21943000
2022-09-25,130760.41189500,132544.84120500,128737.08660000,129968.39949000,18921.99000000,19180.21000000,18629.20000000,18807.38000000,191191.44920000,191191.44920000
2022-09-24,133293.66298500,133484.18547000,129954.30207000,130750.11525000,19288.57000000,19316.14000000,18805.34000000,18920.50000000,239496.56746000,239496.56746000
2022-09-23,134074.96411500,134754.75000000,128061.37791000,133302.92305500,19401.63000000,19500.00000000,18531.42000000,19289.91000000,385886.91829000,385886.91829000
2022-09-22,127577.22828000,135101.44978500,126851.83309500,134074.96411500,18461.36000000,19550.17000000,18356.39000000,19401.63000000,379321.72111000,379321.72111000
2022-09-21,130430.91925500,137905.93800000,125259.58479000,127577.22828000,18874.31000000,19956.00000000,18125.98000000,18461.36000000,385034.10021000,385034.10021000
2022-09-20,135010.57671000,135685.04151000,129308.37763500,130435.68750000,19537.02000000,19634.62000000,18711.87000000,18875.00000000,324098.32860000,324098.32860000
2022-09-19,134184.28822500,136041.48510000,125996.10588000,135010.57671000,19417.45000000,19686.20000000,18232.56000000,19537.02000000,380512.40306000,380512.40306000
2022-09-18,138988.19140500,139020.32523000,133618.80201000,134175.51189000,20112.61000000,20117.26000000,19335.62000000,19416.18000000,254217.46904000,254217.46904000
2022-09-17,136850.70465000,139516.08450000,136469.10684000,138995.17101000,19803.30000000,20189.00000000,19748.08000000,20113.62000000,179350.24338000,179350.24338000
2022-09-16,136149.84174000,137449.84500000,133510.92910500,136850.70465000,19701.88000000,19890.00000000,19320.01000000,19803.30000000,283791.07064000,283791.07064000
2022-09-15,139779.85828500,140492.12352000,134734.01850000,136149.84174000,20227.17000000,20330.24000000,19497.00000000,19701.88000000,333069.76076000,333069.76076000
2022-09-14,139409.80101000,141951.89754000,135567.56301000,139776.67945500,20173.62000000,20541.48000000,19617.62000000,20226.71000000,340826.40151000,340826.40151000
2022-09-13,154763.68812000,157552.48950000,137242.53000000,139409.45548500,22395.44000000,22799.00000000,19860.00000000,20173.57000000,431915.03333000,431915.03333000
2022-09-12,150834.58513500,155403.32400000,148841.87335500,154765.76127000,21826.87000000,22488.00000000,21538.51000000,22395.74000000,395395.61828000,395395.61828000
2022-09-11,149593.04470500,151063.53000000,147539.17500000,150834.58513500,21647.21000000,21860.00000000,21350.00000000,21826.87000000,280702.55149000,280702.55149000
2022-09-10,147619.47501000,150723.53340000,145888.46386500,149600.85357000,21361.62000000,21810.80000000,21111.13000000,21648.34000000,307997.33504000,307997.33504000
2022-09-09,133514.59167000,149247.58881000,133315.63837500,147609.04015500,19320.54000000,21597.22000000,19291.75000000,21360.11000000,428919.74652000,428919.74652000
2022-09-08,133323.23992500,134466.23662500,131382.42600000,133509.27058500,19292.85000000,19458.25000000,19012.00000000,19319.77000000,262813.28273000,262813.28273000
2022-09-07,129852.51040500,134506.38663000,127918.67608500,133323.17082000,18790.61000000,19464.06000000,18510.77000000,19292.84000000,287394.77880000,287394.77880000
2022-09-06,136795.69707000,139453.89000000,128877.43885500,129852.51040500,19795.34000000,20180.00000000,18649.51000000,18790.61000000,356315.05718000,356315.05718000
